"id","company","title","sentiment score"
"2","Morrisons","Morrisons book second consecutive quarter of sales growth","0.43"
"3","IMI","IMI posts drop in first-quarter organic revenue; warns on full year","-0.344"
"4","Glencore","Glencore to refinance its short-term debt early, shares rise","0.34"
"5","Ryanair","EasyJet attracts more passengers in June but still lags Ryanair","0.259"
"6","Barclays","Barclays 'bad bank' chief to step down","-0.231"
"7","BP","Bilfinger Industrial Services win Â£100m BP contract extension","0.113"
"8","Bilfinger Industrial Services","Bilfinger Industrial Services win Â£100m BP contract extension","0.424"
"9","Barclays","Barclays share price subdued as bank faces fresh forex probe","-0.373"
"10","Centrica PLC","Centrica prepared for takeover approach - chairman","0.111"
"11","Glencore","Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price","-0.231"
"12","Barclays","Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder","-0.221"
"13","Kingfisher","Kingfisher set to open another 200 Screwfix stores","0.541"
"14","Diageo","Diageo sales disappoint as currency and comparatives leave bitter taste","-0.545"
"15","Smith & Nephew","Smith & Nephew recalls hip-replacement components","-0.522"
"16","Tesco PLC","Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers","-0.775"
"17","Legal & General Group Plc","Is Trouble Brewing At Legal & General Group Plc And Aviva plc?","-0.271"
"18","Tesco PLC","Here's my 10-point plan to make Tesco great again","0.09"
"19","Schroders","Schroders posts FY profit beat, replaces CEO and chairman in board shake-up","0.052"
"20","BP","BP Seeks to Get Back Some Gulf Oil Spill Business Payouts","0.181"
"21","Standard Chartered PLC","Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?","0"
"22","BP","UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs","-0.989"
"23","Friends Life","Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger","0.053"
"24","L&G","L&G still paying price for dividend cut during crisis, chief says","-0.338"
"25","Admiral","Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger","0.314"
"26","Whitbread","Whitbread eyes savings, price rises to offset wage rises","0.139"
"27","Kingfisher","Britain's FTSE lifted by solid Kingfisher","0.653"
"28","Novo Nordisk","Novo Nordisk and AstraZeneca seek tonic from key drug trials","0.099"
"29","Mr Bricolage","Kingfisher takeover of Mr Bricolage could hit a brick wall","-0.311"
"30","BP","BP wins right to appeal some Gulf spill damages claims","0.236"
"31","Dixons Carphone","Dixons Carphone profit boost on strong sales","0.478"
"32","Sky","UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100","0.128"
"33","Johnson Matthey","Johnson Matthey profit lifted by metals unit sale","0.407"
"34","Credit Suisse","Barclays, Credit Suisse strike record deals with SEC, NY over dark pools","-0.902"
"35","Shire","UPDATE 1-Shire takes Q2 earnings pain for long-term gain","-0.174"
"36","Shire","Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit","0.437"
"37","Standard Chartered PLC","Standard Chartered considering move from UK","0.166"
"38","Kirin","Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...","0.24"
"39","Shell","US cancels Arctic offshore lease sale after Shell drops interest","-0.019"
"40","Baxalta","Shire CEO steps up drive to get Baxalta board talking","0.203"
"41","BP","UPDATE 1-Oil major BP freezes pay in 2015 to cut costs","-0.2"
"42","Vale","Brazil Vale says will appeal ruling to block assets for dam burst","-0.131"
"43","BHP Billiton","BHP Billiton posts big loss, slashes dividend","-0.938"
"44","Glencore","Reaching New Depths: Glencore's $5bn Loss","-0.913"
"4","EasyJet","UPDATE 2-EasyJet sees better first half on lower fuel bill","0.778"
