source,cashtag,sentiment score,id,spans,spans__002,spans__003,spans__004,spans__005
"twitter","$FB","0.366","719659409228451840","watching for bounce tomorrow","","","",""
"twitter","$LUV","0.638","719904304207962112","record number of passengers served in 2015","","","",""
"stocktwits","$NFLX","-0.494","5329774","out $NFLX -.35","","","",""
"twitter","$DIA","0.460","719891468173844480","Looking for a strong bounce","Lunchtime rally coming","","",""
"stocktwits","$PLUG","0.403","20091246","Very intrigued with the technology and growth potential","","","",""
"stocktwits","$GMCR","0.000","5819749","short worked","puts up","","",""
"twitter","$IBM","-0.296","709741154393133056","overbought","","","",""
"stocktwits","$JOSB","-0.546","17892972","absolute garbage still up","stores TOTALLY EMPTY","stock mispriced","",""
"twitter","$CSTM","-0.438","709834259687710720","Biggest Market Losers","","","",""
"twitter","$PYPL","0.408","708481442079068160","Love this company long time.","","","",""
"stocktwits","$GOOGL","-0.398","31971935","$GOOG $GOOGL would suck","","","",""
"twitter","$ENDP","-0.349","710187873492983809","who won't pay anymore","REAL risk","","",""
"stocktwits","$XLI","0.025","13915103","No edge offered","","","",""
"stocktwits","$PCLN","0.486","10448993","runs into the 50sma on the acquisition news","","","",""
"stocktwits","$AA","0.308","24886266","t can't go down","","","",""
"stocktwits","$AAPL","-0.372","12793642","now seems like its helping the downtrend","","","",""
"stocktwits","$AAPL","0.461","9408369","mastered their supply chain","","","",""
"twitter","$GOLD","0.408","719909604654624768","Most bullish stocks on Twitter during this dip","","","",""
"stocktwits","$AMD","-0.699","9674584","big dumping","would not touch it for a while","","",""
"stocktwits","$SPY","0.495","10041008","trade continuing very nicely from yesterday","looking very strong here","","",""
"stocktwits","$IDRA","0.306","20249627","in from 3.61","","","",""
"stocktwits","$ASMB","-0.385","39047349","Stochastic Overbought","","","",""
"twitter","$RHT","0.336","711907079296933888","Unusual call buying","","","",""
"stocktwits","$CHK","0.279","5364581","reserves are in decline","","","",""
"stocktwits","$CELG","0.591","25816362","all on a longer-term, technical swing long basis.","","","",""
"twitter","$CBPO","-0.351","708960045799759872","Insiders Are Selling","","","",""
"twitter","$TSLA","-0.514","719521470175522816","What goes up...","","","",""
"twitter","$TSLA","-0.519","719572690453934080","if $249.84 breaks we see $245 then $240","","","",""
"stocktwits","$BBRY","0.361","33458939","let's see a big bounce","","","",""
"twitter","$FB","-0.042","719547428924481536","I don't think it will move $FB in the short term","","","",""
"stocktwits","$NVTL","0.260","17792722","above 2.25 and it could get going?","","","",""
"twitter","$PCLN","0.099","719530296585027584","Hold","","","",""
"twitter","$KNDI","0.359","719528411430051840","may feed off $TSLA momentum run lately.","","","",""
"stocktwits","$GDX","0.290","17792845","possible double bottom set up","","","",""
"stocktwits","$ISRG","0.887","5468109","trading at all-time high","strong earnings report","","",""
"stocktwits","$VLTC","0.330","36616915","If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros","","","",""
"stocktwits","$UVXY","-0.320","12288299","Put the chum out there at key support then next level down","careful","","",""
"twitter","$GM","-0.065","719574528637202432","#Tesla: Great Company, Bad #Stock $TSLA","","","",""
"stocktwits","$C","0.329","24394588","Good idea buy half this and half BAC?","","","",""
"stocktwits","$BABA","-0.390","26919572","Alibaba IPO hoopla can not hide risk of Chinese stocks","","","",""
"stocktwits","$AMTD","0.591","25816362","all on a longer-term, technical swing long basis.","","","",""
"twitter","$SBUX","0.000","719533714296934400","on the fence with this one","","","",""
"twitter","$AAPL","0.337","719574902211264512","stay long Apple","","","",""
"stocktwits","$ZC_F","-0.122","13451804","looks like drought conditions in soil already","","","",""
"twitter","$XOP","0.332","710863854381563904","Unusual Call Activity","","","",""
"twitter","$MDXG","-0.402","719507659741872128","$MDXG","lower","","",""
"twitter","$ENDP","-0.438","709834259687710720","Biggest Market Losers","","","",""
"twitter","$FB","-0.411","719524411489976320","hip sinking?","","","",""
"stocktwits","$GALE","0.360","17966501","Can't imagine shorts wanting to go into the weekend without taking care of their position","","","",""
"stocktwits","$VRS","0.113","19339823","nice volume","watch 330 resistance","","",""
"stocktwits","$SIMO","0.408","29960476","$SIMO Basing nice","A close over 24.18 is bullish","","",""
