Emoji_0,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Emoji_6,Emoji_7,Emoji_8,Emoji_9,Emoji_10,Emoji_11,Emoji_12,Emoji_13,Emoji_14,Emoji_15,Emoji_16,Emoji_17,Emoji_18,Emoji_19,Emoji_20,Emoji_21,Emoji_22,Emoji_23,Emoji_24,Emoji_25,Emoji_26,Emoji_27,Emoji_28,Emoji_29,Emoji_30,Emoji_31,Emoji_32,Emoji_33,Emoji_34,Emoji_35,Emoji_36,Emoji_37,Emoji_38,Emoji_39,Emoji_40,Emoji_41,Emoji_42,Emoji_43,Emoji_44,Emoji_45,Emoji_46,Emoji_47,Emoji_48,Emoji_49,Emoji_50,Emoji_51,Emoji_52,Emoji_53,Emoji_54,Emoji_55,Emoji_56,Emoji_57,Emoji_58,Emoji_59,Emoji_60,Emoji_61,Emoji_62,Emoji_63
0.00541636,0.00236459,0.0033322,0.00377852,0.00893964,0.00265455,0.0501568,0.0208107,0.00411907,0.0211351,0.0402893,0.0015552,0.00992178,0.00942388,0.0143204,0.0366172,0.0157121,0.042411,0.00359441,0.00241761,0.0104316,0.00514199,0.00395622,0.00256769,0.00148272,0.00460626,0.0128427,0.00278491,0.00946753,0.00288902,0.138093,0.0584271,0.000658345,0.0463183,0.00591096,0.00748199,0.0117419,0.00347763,0.00201311,0.00256345,0.0510338,0.0396459,0.00555843,0.00272616,0.0352692,0.0043885,0.00166816,0.00344338,0.000668783,0.00877065,0.00632401,0.00812195,0.00381432,0.026252,0.0287087,0.000703233,0.00249306,0.0513166,0.0315996,0.00350397,0.0023947,0.00607193,0.0405296,0.00316709
0.0172636,0.00231854,0.0041652,0.00693187,0.0102625,0.00167917,0.0523234,0.0146977,0.0039389,0.0267704,0.0328235,0.00769477,0.0298035,0.0120116,0.00449317,0.0124338,0.0123933,0.0465871,0.00253405,0.00502048,0.0228849,0.0217097,0.00344423,0.00157459,0.00147053,0.00690618,0.0145191,0.00217386,0.0142527,0.00418239,0.014676,0.0568147,0.00250219,0.0903845,0.00433958,0.00386817,0.0135714,0.00450854,0.00318481,0.0143412,0.0567591,0.0209616,0.0128062,0.00305241,0.032083,0.00501905,0.00205172,0.00302457,0.00436015,0.0139675,0.0129141,0.0111105,0.00523439,0.0320542,0.0201722,0.00223224,0.00427526,0.0687841,0.0299212,0.00362514,0.00271782,0.0051042,0.0344255,0.00588857
0.00165142,0.00133366,0.00311973,0.00310523,0.0093371,0.00154608,0.0356924,0.00845188,0.019953,0.0175021,0.0151568,0.0135694,0.00320457,0.0179805,0.00718654,0.0175321,0.0269516,0.0214656,0.00715187,0.00148254,0.00380128,0.0166432,0.00101965,0.00713756,0.163512,0.00161832,0.0105207,0.00142994,0.00632099,0.00355411,0.0934599,0.0537173,0.00121106,0.0224282,0.00155408,0.00612165,0.0152499,0.00526421,0.00714901,0.00266445,0.0193319,0.00681292,0.0133543,0.00172618,0.0480949,0.00308467,0.00233358,0.0594819,0.0210592,0.0106661,0.0104439,0.0039053,0.00185152,0.0102135,0.0291839,0.00114477,0.00235307,0.0111489,0.0156799,0.0122195,0.0113672,0.0112575,0.0162497,0.0192843
0.00562759,0.00232507,0.00558942,0.00330451,0.00360836,0.00669867,0.0127166,0.00349135,0.00154448,0.0191793,0.00581974,0.0245773,0.0155428,0.0209099,0.00962352,0.0128576,0.0023395,0.012006,0.0010926,0.00193635,0.0125904,0.0140189,0.00861681,0.00152124,0.00085265,0.00529248,0.0071831,0.00429359,0.00722982,0.00481456,0.0501555,0.0186917,0.0008783,0.00561876,0.00446843,0.00974468,0.00454793,0.0104722,0.00383722,0.00575621,0.0107252,0.199751,0.00512755,0.00458223,0.0236271,0.0116336,0.0064748,0.00147946,0.0337342,0.007183,0.00881405,0.00604062,0.00509357,0.00290232,0.0102726,0.00120679,0.00633713,0.268698,0.0150873,0.000960951,0.000489468,0.00175835,0.0127141,0.00393153
0.00633296,0.00344652,0.00291912,0.00221454,0.00380334,0.00203106,0.0406378,0.0270501,0.00265967,0.0334563,0.0246021,0.00365051,0.0302848,0.0188846,0.00479742,0.0378509,0.0209074,0.0275464,0.00186052,0.00544662,0.0266333,0.0169836,0.0124307,0.0010434,0.00130213,0.0146388,0.00853899,0.00300675,0.0187729,0.00254681,0.0108429,0.0324005,0.00160111,0.0536078,0.00224696,0.0042201,0.00849115,0.00415092,0.00297139,0.00239116,0.0217058,0.178957,0.00309956,0.00370151,0.0236287,0.0061641,0.000944427,0.00230191,0.00218262,0.016619,0.0318593,0.00786983,0.00374807,0.026145,0.0122094,0.00248095,0.00395687,0.0273694,0.0113875,0.00219434,0.00237274,0.00236067,0.0420295,0.0355074
0.00616587,0.00621795,0.0104019,0.0117327,0.0171649,0.00917937,0.0420104,0.0278731,0.00530518,0.0266316,0.0295077,0.00149681,0.0100017,0.0160141,0.00516401,0.0331259,0.0194087,0.0625222,0.00278836,0.00969162,0.0258488,0.0356877,0.0105187,0.00245941,0.00296389,0.0077639,0.0204207,0.00937482,0.0052746,0.00817528,0.00936055,0.0279086,0.00695327,0.0973508,0.00921902,0.0195534,0.0208327,0.0113673,0.00242185,0.00180995,0.0488847,0.00750509,0.00809377,0.00637451,0.0213122,0.0183261,0.0101643,0.00368967,0.00241485,0.00630501,0.01499,0.00723131,0.00716381,0.0237601,0.0168346,0.00531305,0.00285048,0.0494792,0.0107386,0.00334896,0.00187615,0.00326467,0.0247259,0.00768381
0.00869791,0.00685626,0.0057126,0.0124594,0.0283361,0.00855972,0.0206956,0.00816862,0.0266474,0.00979317,0.0094944,0.0229199,0.00662015,0.00681675,0.0148893,0.00907416,0.0158145,0.0173526,0.0160799,0.00779565,0.00555746,0.0155846,0.00467356,0.00907514,0.0824354,0.00532216,0.00805772,0.0125422,0.0120595,0.0091117,0.0256124,0.0163915,0.0133512,0.016015,0.015814,0.0170334,0.0140408,0.0130888,0.0108698,0.014784,0.0268661,0.00958484,0.0177644,0.0149806,0.016022,0.0137776,0.0247695,0.0411298,0.0267139,0.0117659,0.00808117,0.00770275,0.0133851,0.0120513,0.0100117,0.01536,0.00792245,0.0287212,0.0227716,0.0197369,0.0143186,0.0288962,0.0104125,0.0130495
0.0152476,0.0270636,0.0181359,0.0102727,0.000175718,0.0117574,0.00316565,0.00248433,0.000183143,0.00175868,0.00509135,0.000100257,0.0197563,0.000691086,0.101101,0.00115749,0.00101465,0.000990888,0.00012425,0.0313185,0.01763,0.000727954,0.0268308,0.000207346,2.97217e-05,0.0350992,0.00211883,0.0214516,0.0180075,0.020296,0.00279116,0.00181425,0.059941,0.00949211,0.0072618,0.0250193,0.000865995,0.0470844,0.0304496,0.154085,0.00364141,0.011989,0.0268452,0.0278641,0.0019602,0.0242305,0.0026975,0.000122951,0.000115441,0.0044089,0.000728732,0.0193721,0.0329805,0.00405587,0.00170565,0.0516399,0.0200695,0.0020926,0.0147977,0.000141182,0.000179946,0.00013486,0.0152293,0.000203619
0.0402673,0.0204738,0.00636279,0.00861213,0.00219288,0.00563013,0.0205715,0.0138272,0.00214851,0.0246908,0.0119018,0.00395161,0.00689065,0.0109721,0.0210599,0.0167786,0.0115653,0.00782489,0.00263853,0.0127686,0.0148385,0.00126225,0.0100798,0.00848263,0.00164155,0.0114641,0.071775,0.0047744,0.0130141,0.00578816,0.0669964,0.023656,0.015839,0.0197417,0.00414278,0.0102189,0.0151924,0.01545,0.0526125,0.0162022,0.0200295,0.00835435,0.0147514,0.00517165,0.0242186,0.00473911,0.00603714,0.00205629,0.00281352,0.0220137,0.0236831,0.01235,0.00595748,0.0162404,0.0342777,0.0191112,0.0526142,0.0063605,0.0549458,0.00258263,0.00229612,0.0019635,0.0176035,0.00552722
0.00143433,0.00381589,0.00438564,0.00135315,0.0451278,0.00230738,0.0519406,0.0777735,0.0484411,0.0183096,0.0278026,0.00626609,0.00271142,0.00572813,0.00699087,0.0988705,0.0823532,0.0272146,0.0266301,0.00338988,0.00851769,0.00842796,0.00246529,0.00871896,0.010659,0.00349757,0.00844836,0.00235509,0.0157002,0.00276931,0.00802848,0.0162734,0.00126002,0.0390473,0.00104275,0.00245914,0.0243093,0.00161939,0.000527623,0.000737907,0.0146544,0.00640067,0.00295109,0.00168069,0.0103838,0.00228751,0.00108085,0.0307591,0.00469945,0.017599,0.00778327,0.00111106,0.000994621,0.0295141,0.0110783,0.00139515,0.00139294,0.00328396,0.00363515,0.0391856,0.0186263,0.0431294,0.015496,0.0211666
