text,sentiment_score,binary_sentiment
['watching for bounce tomorrow'],0.366,1
['record number of passengers served in 2015'],0.638,1
['out $NFLX -.35'],-0.494,0
"['Looking for a strong bounce', 'Lunchtime rally coming']",0.460,1
['Very intrigued with the technology and growth potential'],0.403,1
"['short worked', 'puts up']",0.000,1
['overbought'],-0.296,0
"['absolute garbage still up', 'stores TOTALLY EMPTY', 'stock mispriced']",-0.546,0
['Biggest Market Losers'],-0.438,0
['Love this company long time.'],0.408,1
['$GOOG $GOOGL would suck'],-0.398,0
"[""who won't pay anymore"", 'REAL risk']",-0.349,0
['No edge offered'],0.025,1
['runs into the 50sma on the acquisition news'],0.486,1
"[""t can't go down""]",0.308,1
['now seems like its helping the downtrend'],-0.372,0
['mastered their supply chain'],0.461,1
['Most bullish stocks on Twitter during this dip'],0.408,1
"['big dumping', 'would not touch it for a while']",-0.699,0
"['trade continuing very nicely from yesterday', 'looking very strong here']",0.495,1
['in from 3.61'],0.306,1
['Stochastic Overbought'],-0.385,0
['Unusual call buying'],0.336,1
['reserves are in decline'],0.279,1
"['all on a longer-term, technical swing long basis.']",0.591,1
['Insiders Are Selling'],-0.351,0
['What goes up...'],-0.514,0
['if $249.84 breaks we see $245 then $240'],-0.519,0
"[""let's see a big bounce""]",0.361,1
"[""I don't think it will move $FB in the short term""]",-0.042,0
['above 2.25 and it could get going?'],0.260,1
['Hold'],0.099,1
['may feed off $TSLA momentum run lately.'],0.359,1
['possible double bottom set up'],0.290,1
"['trading at all-time high', 'strong earnings report']",0.887,1
['If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros'],0.330,1
"['Put the chum out there at key support then next level down', 'careful']",-0.320,0
"['#Tesla: Great Company, Bad #Stock $TSLA']",-0.065,0
['Good idea buy half this and half BAC?'],0.329,1
['Alibaba IPO hoopla can not hide risk of Chinese stocks'],-0.390,0
"['all on a longer-term, technical swing long basis.']",0.591,1
['on the fence with this one'],0.000,1
['stay long Apple'],0.337,1
['looks like drought conditions in soil already'],-0.122,0
['Unusual Call Activity'],0.332,1
"['$MDXG', 'lower']",-0.402,0
['Biggest Market Losers'],-0.438,0
['hip sinking?'],-0.411,0
"[""Can't imagine shorts wanting to go into the weekend without taking care of their position""]",0.360,1
"['nice volume', 'watch 330 resistance']",0.113,1
"['$SIMO Basing nice', 'A close over 24.18 is bullish']",0.408,1
['Big Money Is Pouring Into Facebook From All Directions'],0.645,1
['placed an order to sell 5 shares'],-0.379,0
['go $FB go'],0.302,1
['Out $BIDU for now'],-0.221,0
['Short Setups Looking Nice....Really Nice'],-0.464,0
['Defying the Downturn'],0.407,1
['but man this is one to be careful with'],-0.291,0
['downgrade'],-0.463,0
['Short $TSLA calls'],-0.618,0
"[""Was looking for a long entry but today's price action wasn't appealing""]",0.215,1
"['just follow the trend, follow the money flow']",0.165,1
['tapping on 10.00'],0.224,1
['Will re-enter short on bounce..'],-0.460,0
['Found some good bull setups this week'],0.448,1
['all going down'],-0.559,0
['so volatile!'],-0.131,0
['sold my 81 calls'],0.328,1
"[""I'm watching(and buy targets)""]",0.344,1
['beats the Estimize EPS Consensus by 6c and the Estimize Revenue Consensus by'],0.366,1
['Short Percent of Float 16.80%'],-0.160,0
[''],-0.373,0
['Add to $FXP $SKF positions'],0.500,1
['long'],0.488,1
['Bottom Losses'],-0.473,0
['ure wish bad news came out just a few days earlier'],-0.221,0
[''],0.000,1
"['$WMT, 13%']",0.382,1
"['added', 'increase of 16.7%']",0.274,1
"['mkt fell on debt downgrade', 'due to slow growth']",-0.159,0
['$FCX +3.53%'],0.339,1
"['been very frustrating', 'green bar gets followed immediately by 1-3 weeks of consolidation']",-0.136,0
['Thanks for the short'],-0.264,0
['need to break $4 again'],0.132,1
"['Fed cuts rates forecast', 'Our calls go 100%']",0.449,1
['Stochastic Overbought'],-0.516,0
['Very tight price'],0.000,1
['#oversold'],0.406,1
['a great step for #China to let $FB in'],0.417,1
['new squeeze plays'],-0.339,0
['$CRM Seems a little to high also'],-0.344,0
['Pie In The Sky'],0.365,1
['Moved Upper Bollinger Band'],0.498,1
['Highest call to put ratio'],0.348,1
['offers will take place until next week'],0.409,1
['Currently it is the shorts rejoicing'],-0.540,0
['breaking out when the market pulls back'],0.413,1
['airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU'],0.092,1
"[""Buy the dip'""]",0.380,1
"['$MDXG', ' lower.']",-0.361,0
['BlackBerry Messenger is second only to Facebook in user loyalty'],0.158,1
['Headed to all time highs'],0.407,1
['Your shit is broke'],-0.348,0
['buy'],0.458,1
['Weak open and it goes r/g within first 30 mins'],-0.229,0
['down $2.84 premarket'],-0.512,0
['Guess who sold off about $800 million in $MDLZ'],-0.428,0
['Buying on Weakness'],0.511,1
['Shareholders welcome Marriott-Starwood deal'],0.322,1
['peachy prospects'],0.339,1
"['Another Sell Rating, Sell Rating']",-0.513,0
['Nice day rally!'],0.529,1
['Nice day rally!'],0.529,1
['Quality Stocks With High Cash Returns'],0.274,1
['LED light bulb prices rise in Japan'],0.054,1
['Closed Buy'],0.466,1
['highest down volume in last 10 days'],-0.310,0
['With $IBB back over support'],0.285,1
"['long into earnings', 'looks good over 600']",0.484,1
"['considering Yahoo bid', 'up 2,05%']",0.288,1
"['After weeks of steady gains,advances in mkt breadth slowe']",-0.146,0
['I will buy aggressively if pulls back'],0.386,1
['Nice day rally!'],0.529,1
['gets 26 patents and goes down'],-0.373,0
['Buying on Weakness'],0.511,1
['LED light bulb prices rise in Japan'],0.054,1
"['is a later riser,', 'Positive catalyst?']",0.203,1
['Could that have been a strategy to exit shorts before the big pop?'],0.316,1
['Piper upgrades Symantec on improving renewal rates and enterprise growth'],0.525,1
['Look for strong solar rebound today!'],0.304,1
['I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings'],-0.308,0
['red $AAPL dragging down $QQQ'],-0.500,0
['cuts outlook down'],-0.236,0
['weakness continues again.'],-0.410,0
['Watchlist Top Stocks'],0.342,1
['Long'],0.428,1
"[""joint bid for Yahoo's internet assets""]",0.228,1
['patience pays off'],0.272,1
"['Bad governance', 'not confident in core biz']",-0.331,0
['Bottom Losses'],-0.756,0
"['sales numbers still holding up so well', 'igh end might not be a concern after all.']",0.315,1
['I just feel the people who are buying are the same ones with their finger on the sell button'],-0.054,0
['gap filled'],0.226,1
['debt crisis entered a dangerous new phase'],-0.331,0
"['just about to break out to new highs', 'lots of technicals looking great right now']",0.469,1
"[""next resist is 64.40's""]",0.201,1
[''],0.000,1
['looks really toppy right here.'],-0.191,0
['this will pop after the holiday'],0.555,1
['Breakup Will Cost Billions'],-0.397,0
['News breaks first and fastest on Twitter $TWTR'],0.364,1
['overbought'],-0.296,0
['Continues to consolidate above previous break out area.'],0.375,1
['Good to load up Be confident'],0.281,1
"['Long', 'look like a 5-10% run awaits']",0.394,1
['Buy Call!'],0.095,1
['companies shld be worried about iCloud'],-0.329,0
['$SPY -0.05%'],0.028,1
['but decent supt here-expect some upside'],0.302,1
['Monday sold'],-0.370,0
"['Sector has been taking a beating recently, could be positive here', 'will catch a bid today']",0.361,1
"['At 11x earnings, $AAPL is a steal']",0.561,1
"['Multi Top on $MCD', ' chart finally leads to a fall in price', 'Stability is questioned in the stock but coming weeks will tell']",-0.474,0
"['US Adds 321K Jobs In November', 'Unemployment Rate Remains At ', 'Gold Futures off']",0.243,1
['Why is $FB falling?'],-0.304,0
"['calls for nice gains', 'Still holding', 'Week made in a morning']",0.396,1
['someone bought lots of calls MON'],0.444,1
['moving up again'],0.120,1
['$EA points to the two Facebook games'],0.048,1
['ready to exit bankruptcy'],0.298,1
['starting to creep up'],0.280,1
['looks like BO coming'],0.360,1
['2m this year would be amazing'],0.151,1
['Moved Upper Bollinger Band'],0.498,1
['$GOGO short'],-0.318,0
['EU getting closer to charging Google over Android'],-0.319,0
['Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets'],0.346,1
['China winners'],0.452,1
['looks like an ascending channel'],0.363,1
['patience on the buy precedes patience on the sell'],0.000,1
"['Oil To Break Out', 'Adding Chevron']",0.666,1
"['brand name is to big for it to fail', ' I bet they recover or get bought out before the year is over']",0.226,1
['Top #NetPayoutYields'],0.426,1
['Long $AMZN Oct $240 Calls'],0.628,1
['under pressure along with the market'],0.014,1
['patience pays off'],0.272,1
['stock splits are lipstick on a pig!'],-0.347,0
['making new highs for the year'],0.530,1
"['held up well after the big gains!', 'still very undervalued and has major upside']",0.695,1
['wait and see before taking any action'],0.000,1
['Markets Are Still Acting Weak'],-0.443,0
['breaking below support'],-0.397,0
['sold 20% of our concentrated stake'],-0.344,0
"['want to go this morning', ""it's about time looking at the chart""]",0.280,1
"['cracking lower early', '$short', '#correction']",-0.511,0
['$FB & $IBB down'],-0.527,0
"['Higher In Afternoon Trade', 'Buy Point']",0.243,1
"['Oil To Break Out', 'Adding Chevron']",0.666,1
['added $SSO 64.33'],0.626,1
['$FB $112 Calls .55 entry'],0.509,1
"[""Is Tiffany's overvalued""]",-0.250,0
"['$INTC & $AAPL strong', 'tech leads DOW higher']",0.722,1
"[""after crunching #'s"", 'diamond in the rough']",0.477,1
['Biggest gainers today large caps'],0.556,1
['$AAPL a new long IF 110.61 is broke'],0.379,1
"['added to our $GILD position', 'started a new one in $BWLD']",0.422,1
['Largest Online Gaming Market'],0.226,1
[''],-0.541,0
['Bottom Losses'],-0.659,0
['stopped out even from yesterdays entry'],-0.413,0
['Micron Shares Pounded On Fears Of Loss Of Business From Apple'],-0.596,0
['Closed Buy'],0.466,1
['over 225 million new Internet users are being added globally every year'],0.337,1
"['$UVXY broke 10.00 amazing!!!', 'not the 1st time', ""won't be the last""]",0.265,1
['Long LEAPS'],0.438,1
"['Looks like that support line around 24.90 held', 't can close green it could start seeing some pstv momentum,']",0.331,1
['retreats like clockwork'],-0.488,0
[''],0.000,1
['its time to sell banks'],-0.763,0
"['upgrades to outperform', 'ifts price target']",0.610,1
['Unusual call buying'],0.336,1
['holding strong'],0.192,1
['Three of my hot stocks today'],0.461,1
['Bulls Are Out'],0.323,1
['patents system'],0.271,1
['Markets Back in Black for 2016'],0.271,1
['The losers buying $TSLA at these levels'],-0.545,0
"['adding $expe and $pcln to the mix soon', 'I already have $CTRP and $trip']",0.554,1
"[""Today's losers""]",-0.317,0
['not feel terribly good'],-0.126,0
"['$SPY up only 0.6%', 'Still holding']",0.228,1
['record number of passengers served in 2015'],0.638,1
"['While we think $TNH is a winner', 'we are ringing the register']",0.415,1
