sum,max,min
0.416169,0.285588,-0.260234
0.47907718,0.410945,-0.353278
1.49211405,0.279983,-0.296327
0.69589786,0.292272,-0.217104
0.3714916,0.303187,-0.181387
-0.4377579,0.328824,-0.324107
0.63216614,0.288313,-0.240975
1.4377417,0.334195,-0.231272
0.7566177,0.283573,-0.231364
0.69090436,0.374962,-0.236035
1.384051943,0.346547,-0.316781
-0.01430555,0.272226,-0.332181
-0.323317,0.253802,-0.349597
0.4646501,0.306343,-0.277232
1.7456588,0.363126,-0.280653
1.26688593,0.307056,-0.238136
-0.0424141,0.292716,-0.350554
1.80755368,0.299896,-0.260416
0.97382957,0.230584,-0.233641
-0.15211726,0.353088,-0.283507
-0.4401544,0.201559,-0.277459
1.18111755,0.37303,-0.205892
1.00528256,0.30822,-0.158522
1.26385128,0.319088,-0.245243
1.00462507,0.282712,-0.22171
0.4274656,0.308587,-0.199839
1.19401847,0.298653,-0.153741
1.8944056,0.332109,-0.224829
0.96292148,0.332911,-0.177476
0.67330725,0.336409,-0.321178
0.888970207,0.272595,-0.225845
0.36817058,0.261901,-0.323045
0.48990632,0.404599,-0.210007
0.18406898,0.221879,-0.302407
1.44328464,0.294838,-0.218584
0.1205259,0.247304,-0.309723
-0.6864617,0.392778,-0.289033
0.74439462,0.283435,-0.308887
1.7530076,0.259559,-0.21824
-0.32155322,0.245009,-0.313155
1.321179,0.326054,-0.264629
0.40799845,0.464709,-0.31522
0.0613605,0.291552,-0.309316
0.26216385,0.338403,-0.252166
0.40689112,0.2799,-0.388433
1.42723248,0.38271,-0.20583
1.114795407,0.482823,-0.334176
2.10191987,0.282263,-0.168238
0.8753714,0.243999,-0.157181
-0.4181922,0.278001,-0.342408
1.3682424,0.304055,-0.158951
1.46588091,0.325823,-0.157439
0.82875807,0.363856,-0.242982
0.7557417,0.281751,-0.292451
-0.92670341,0.204893,-0.416938
-0.3182315,0.247053,-0.25892
0.596286965,0.279966,-0.316311
0.9892587,0.291004,-0.400748
-1.4445501,0.269982,-0.447678
0.07057911,0.315434,-0.237085
0.31264885,0.309968,-0.227371
-0.6904509,0.327552,-0.255045
0.3101865,0.323335,-0.212693
0.90143304,0.376707,-0.187239
1.8091734,0.380731,-0.253008
0.75552108,0.296412,-0.194012
0.72896364,0.261116,-0.376433
0.03616221,0.202629,-0.283678
-0.358324633,0.295714,-0.278159
0.42152886,0.358123,-0.320443
0.79408355,0.30513,-0.242764
-0.39240827,0.383784,-0.3936
1.1092852,0.340537,-0.202931
0.71933799,0.261782,-0.281006
0.926390945,0.352136,-0.401616
0.64298196,0.322067,-0.266163
-0.0225656,0.207496,-0.283645
1.7676742,0.335278,-0.304243
-0.2793591,0.204259,-0.295252
2.44728433,0.471886,-0.234968
0.3930748,0.239264,-0.214233
0.0521025,0.305679,-0.237726
-0.187152575,0.305465,-0.253701
0.5039106,0.326193,-0.317866
0.719426,0.237949,-0.289633
-0.51341135,0.291837,-0.316691
1.04657979,0.336036,-0.212188
0.21300825,0.316165,-0.273132
0.6771653,0.245537,-0.25939
0.62529464,0.378895,-0.246287
0.68919386,0.272904,-0.424551
0.71475561,0.286865,-0.281389
-0.2112737,0.282295,-0.280314
0.35250106,0.259945,-0.255913
-0.12554432,0.269011,-0.252427
1.2520394,0.283806,-0.273099
2.4059181,0.354527,-0.214523
0.2103658,0.272839,-0.229152
1.59198631,0.332576,-0.257915
-0.28883128,0.30433,-0.223354
1.1936899,0.345674,-0.267491
-0.240998804,0.269405,-0.264801
-1.0217022,0.200053,-0.335301
0.42140307,0.330917,-0.227495
-0.96752754,0.281481,-0.272039
-0.69440124,0.206831,-0.294531
1.47204644,0.351102,-0.204922
1.28147248,0.302956,-0.255335
0.48115212,0.374758,-0.307608
-1.50254187,0.243193,-0.411769
0.33002807,0.223209,-0.319668
-1.2401573,0.196706,-0.325244
-0.44407907,0.261058,-0.272127
0.09835006,0.324299,-0.20904
-0.2723324,0.19545,-0.213354
0.56974509,0.35043,-0.258823
0.24498443,0.319435,-0.301426
-0.927549317,0.257532,-0.38458
0.22835121,0.251869,-0.342587
0.20284163,0.371013,-0.378221
1.11281257,0.296553,-0.316247
1.92158106,0.338778,-0.192983
1.13388886,0.264073,-0.175742
0.3550655,0.266538,-0.265936
1.7237827,0.389593,-0.274247
0.4741896,0.325901,-0.247479
0.54405906,0.385769,-0.325928
-1.7783889,0.236052,-0.374221
1.70318386,0.374591,-0.253895
-1.03938401,0.257188,-0.297267
0.6833558,0.354464,-0.339242
-0.7644808,0.349642,-0.418748
-1.47310579,0.282033,-0.341545
1.4042638,0.268628,-0.176298
-0.1408468,0.25932,-0.365351
